Thijssen,Dekker,Khanna,Mkhatrishvili,Schlapp,Marijnen,Zou,Mynott,Ning,Schmidt,Spanjers,Market
0.01,0.16,0.1,0.51,0.31,-0.12,-0.17,-0.27,0.29,0.22,0.16,0.12
-1.46,-1.5,-2.48,-3.62,-2.29,-2.81,-3.57,-3.31,-0.3,-2.44,-2.44,-2.19
3.36,-1.28,-1.68,-2.15,-2.19,-2.02,-2.38,-1.56,0.02,-1.71,-1.67,-0.78
0.11,1.08,0.35,0.44,1.34,0.97,0.12,0.19,-0.24,0.83,0.45,0.04
3.33,2.08,1.98,1.87,1.72,2.1,2.2,1.4,1.13,1.28,1.91,1.22
0.87,0.18,-0.04,0.62,0.26,-0.28,0.2,-0.26,0.76,0.1,0.06,0.42
-1.33,-2,-1.29,-2.38,-2.01,-1.63,-1.34,-2.31,-0.73,-1.48,-1.56,-1.58
2.54,0.46,0.71,0.79,0.41,0.62,0.98,0.55,0.58,-0.02,0.45,0.28
0.51,1.64,1.95,1.28,3.03,2.04,1.43,2.46,1.11,1.19,1.95,1.76
1.9,-0.56,-0.02,-0.78,-0.92,-0.47,-0.86,-0.63,-0.54,-0.32,-0.44,-0.67
-0.17,-1.58,-1.39,-1.5,-1.27,-1.51,-1.07,-1.58,-0.28,-1.48,-1.17,-0.96
-2.59,1.5,1.46,2.41,2.16,1.09,1.59,2.2,0.98,1.08,1.51,0.97
-1.4,-0.22,0.56,0.07,0.06,-1.42,-0.34,-0.22,0.53,0.77,-0.07,-0.17
-4.41,-1.94,-2.26,-2.67,-2.92,-2.76,-1.87,-1.49,-2.02,-1.27,-2.34,-1.93
1.42,0.55,0.11,0.1,-0.36,0.2,-0.15,0.54,0.32,0.53,0.19,0.69
0.21,-1.35,-0.69,-0.53,-0.74,-0.67,-0.93,-0.84,-0.59,-1.31,-0.87,-0.59
-1.75,-1.49,-1.47,-0.68,-0.57,-1.08,-1.83,-0.78,-1.4,-0.6,-1.27,-1.05
-0.9,-0.89,-1.27,-1.34,-0.88,-1.26,-1.35,-1.8,-0.86,-1.17,-0.88,-1.77
2.74,-0.16,0.24,0.94,0.16,0.47,0.14,0.39,0.38,-0.26,0.48,1.12
-0.18,-1.05,1.29,0.94,1.16,0.61,1.91,1.61,0.64,0.53,1.28,0.49
2.92,2.13,1.67,2.39,1.8,2.21,2.62,2.31,1.78,1.51,1.79,1.58
1.18,-0.21,-0.29,0.25,-0.49,-0.44,-0.65,-0.39,0.29,-0.75,-0.25,-0.34
0.3,0.69,0.11,0.43,0.39,0.47,-0.09,0.21,-0.09,0.27,0.43,0.31
0.16,0.76,-0.34,0.51,0.85,1.41,1.14,0.45,0.28,1.84,0.73,0.96
1.03,0.86,0.74,0.54,0.86,0.53,0.81,0.71,0.21,0.82,0.54,0.41
-1.02,-0.11,-0.62,-0.64,-0.9,0.07,-0.16,0.23,-0.39,-0.28,-0.11,-0.35
1.15,1.6,1.59,0.67,0.06,1,0.7,0.19,0.92,0.72,0.69,0.74
1.18,2.4,0.85,0.59,0.84,0.52,1.28,1.54,1.05,1.46,0.97,0.79
0.3,0.06,0.25,0.08,0.41,0.22,1.29,0.15,0.26,0.11,0.41,-0.11
0.47,0.57,0,0.37,-0.31,-0.43,-0.28,0.51,0.78,-0.17,0.41,0.52
0.07,-0.02,0.48,0.14,0.57,-0.36,-0.31,-0.64,0.2,0,0.24,0.09
-0.09,1.06,0.6,0,0.04,0.64,-0.3,-0.55,-0.15,1.16,0.21,0.08
-1.15,-0.13,0.72,0.21,-0.12,0.17,0.07,-0.05,0.49,0.75,0.43,0.21
0.48,0.02,-0.18,-0.56,-0.26,-0.67,-1.01,-0.22,-0.65,0.13,-0.42,-0.2
0.47,-1.04,-0.92,-0.89,-1.29,-0.86,-0.66,-1.21,-0.29,-1.07,-0.8,-0.47
-2.83,-0.25,-1.17,-0.62,-1.18,-0.9,-1.08,-0.62,-1.13,-0.25,-0.66,-0.39
-3.53,-0.53,-0.97,-1.51,-1.46,-1.72,-1.94,-1.2,-1.12,-0.69,-1.01,-0.84
0.94,0.55,0.36,-0.24,0.8,0.36,-0.06,-0.43,0.19,0.08,0.23,0.11
0.73,0.41,0.95,-0.27,0.04,0.27,-0.46,0.04,0.54,0.29,0.32,0
1.19,1.17,1,0.89,0.76,0.57,0.82,0.48,1.07,0.75,0.59,0.44
-2.24,-1.04,-1.26,-0.96,-1.45,-1.67,-1.15,-1.74,-1.2,-0.8,-1.23,-1.15
0.56,1.09,0.69,0.52,0.12,0.42,0.88,0.36,0,-0.04,0.11,0.5
1.93,1.84,1.37,1.42,2.08,2.24,2.82,1.16,1.48,1.77,1.34,1.45
0.88,0.52,0.94,0.07,0.43,0.89,1.28,0.54,0.24,-0.23,0.52,0.56
-0.39,0.44,0.15,-0.29,-0.21,0.2,-0.63,0.05,-0.04,-0.23,-0.08,-0.16
0.16,0.53,-0.13,0.41,1.1,1.18,1.29,1.25,0.99,0.63,0.55,0.89
-0.16,1.17,0.59,0.1,-0.2,0.35,0.55,0.59,0.77,0.82,0.76,0.66
0.23,-0.56,-0.03,0.24,0.77,-0.33,-0.14,0.51,0.65,0.09,0.26,0.32
1.4,-0.24,-0.05,0.36,0.46,0.63,0.53,0.4,0.48,-0.13,0.33,0.29
-2.07,-0.87,-0.77,-1.2,-0.28,-1.16,-1.04,-0.93,-0.39,-1.02,-0.71,-0.28
-3.55,-0.94,-0.32,-1.18,-1.23,-1.32,-1.01,-1,-0.19,-0.44,-0.94,-0.5
-3.17,-0.77,-0.02,-1.27,-1.03,-0.98,-1.57,-1.24,-0.69,-0.29,-1.13,-0.74
-2.57,-0.03,-0.64,-0.57,-0.53,-0.33,-0.19,0.84,-0.58,0.41,-0.31,-0.82
0.72,0.11,-0.03,-0.25,0.26,0.44,0.31,0.4,0.54,0.32,0.55,0.46
2.61,0.67,0.47,0.47,1.96,0.98,0.87,0.67,0.67,0.37,0.68,0.55
0.8,1.91,1.47,1.21,0.57,1.52,1.52,0.99,1.21,1.72,1.4,0.86
-3.87,-1.27,-1.22,-1.55,-2.4,-1.68,-0.89,-0.96,-1.16,-0.2,-1.08,-1.09
-0.33,0.64,0.42,0.3,0.73,0.66,0.67,0.02,0.83,1.04,0.85,0.52
-1.12,-0.73,-1.04,-1.44,-1.43,-1.42,-1.54,-1.42,-0.91,-0.7,-1.12,-0.88
-1.48,-1.53,-0.51,-1.45,-1.03,-1.73,-0.98,-1.21,-0.55,-1.41,-1.58,-0.76
-0.69,-0.58,-0.64,-1,-0.94,-1.06,-2.18,-0.97,0.25,-0.36,-0.41,-0.11
3.41,0.99,1.16,1.25,1.58,1.74,0.81,1.08,0.4,0.83,1.24,1.02
0.09,0.49,0.52,0.25,-0.1,-0.2,-0.47,0.51,0.26,0.08,0.19,0.22
0.69,-1.89,-1.39,-0.84,-1.22,-0.47,-1.33,-0.66,0,-0.85,-0.45,-0.73
-2.03,-1.37,-1.54,-1.71,-2.61,-1.95,-1.5,-1.67,-1.42,-0.71,-1.46,-1.29
1.04,-0.39,-0.22,-0.66,-0.39,-0.83,-0.82,-0.25,-0.18,-0.28,-0.36,-0.14
2.24,0.1,0.55,1.63,0.8,1.21,2.36,0.69,0.48,0.22,0.9,0.45
1.13,1.42,1.05,1.1,0.86,0.93,0.59,0.44,0.23,1.51,1.11,0.52
0.91,0.69,0.07,0.7,0.72,0.82,0.91,0.26,0.22,0.43,0.52,0.49
0.89,0.41,0.97,1.79,1.96,1.41,0.6,0.95,1.28,0.75,1.12,1.04
-2.99,-2.68,-2.55,-3.21,-3.82,-2.57,-3.52,-2.88,-1.52,-2.33,-2.32,-2.33
0.24,-1.39,-0.73,-0.57,0.51,0.13,-0.35,0.47,-0.39,-0.7,0.18,-0.1
-0.6,-0.98,-1.24,-1.38,-1.95,-1.38,-0.85,-1.27,-0.89,-1.38,-1.3,-1.1
-3.38,-1.95,-1.55,-1.55,-1.54,-1.46,-1.53,-1.48,-0.78,-1.35,-1.57,-1.18
0.07,-0.47,-0.29,-0.27,0.18,0.16,-0.68,0.05,0.21,-0.14,0.18,-0.04
-0.54,-2.09,-1.39,-1.06,-1.64,-1.77,-1.97,-1.5,0.13,-0.93,-1.11,-0.54
1.61,0.95,0.57,-0.1,0.93,0.43,1.3,0.77,-0.13,0.85,0.69,0.75
-1.76,-0.89,-0.59,-1.78,-2.18,-1.29,-1.85,-1.1,-0.67,-1.48,-1.2,-1.37
-2.72,1.3,-0.41,-0.28,-0.2,-1.03,-0.86,-0.29,0.22,0.05,-0.76,0.01
2.11,2.31,1.81,1.68,2.45,1.95,2.46,2.05,0.72,2.13,1.67,1.36
-2.05,-1.64,-1.11,-1.55,-2.37,-1.73,-2.1,-1.08,-1.16,-1.16,-1.44,-1.72
-0.53,1.03,0.14,0.33,-0.35,-0.43,-1.12,0.81,0.86,0.3,0.27,0.12
-0.73,1.36,0.71,0.63,0.17,-0.26,0.65,0.27,0.62,0.58,0.06,0.25
-0.05,1.34,0.65,0.62,-0.09,0.28,0.18,0.98,0.44,1.18,0.34,0.58
3.14,1.47,1.72,1.77,3.1,2.18,2.76,2.11,0.54,1.83,2.03,1.52
0.26,-1.79,-1.27,-0.33,0,-0.71,0.28,-0.48,-0.73,-1.15,-0.62,-0.62
-1,0.59,0.73,0.8,-0.13,0.54,0.52,0.53,-0.44,1.05,0.32,-0.14
-1.19,-1.16,-0.26,-0.43,-0.17,-0.42,0.57,-0.43,0.18,-0.09,0.05,-1.1
-0.23,0.63,0.35,-0.18,0.63,0.72,1.03,1.33,0.63,0.6,0.85,0.89
2.96,1.78,1.14,0.96,1.61,1.47,0.9,0.95,0.84,1.56,1.23,1.36
1.81,0.03,0.62,0.06,0.06,0.12,0.4,0.21,0.5,-0.42,0.09,0.77
1.31,1.33,0.84,1.13,1.59,1.6,1.32,0.98,0.46,0.63,0.79,0.99
1.03,1.71,0.81,0.64,1.57,1.44,2.02,1.67,1.28,1.67,1.08,1.45
0.84,0.42,0.08,0.25,0.49,0.07,-0.29,-0.9,-0.22,0.17,0.14,-0.08
-0.13,0.47,0.22,0.36,1.07,0.25,-0.03,1.14,0.39,0.22,0.54,0.18
1.97,2.22,1.13,1.15,1.92,1.58,3.09,1.06,0.42,2.2,1.37,1.1
-0.75,-0.57,-0.55,-0.92,-0.79,-0.65,-1.29,-0.55,-0.3,-0.44,-0.49,-0.67
-3.3,-1.62,-1.66,-2.3,-2.36,-2.06,-1.75,-1.81,-1.32,-1.64,-1.68,-1.91
-0.16,0.14,-0.45,-0.43,0.19,-1.45,0.51,-0.48,0.27,-0.35,-0.24,-0.45
1.46,0.85,1.1,0.85,2.33,0.81,0.77,1.25,0.25,0.97,0.71,0.45
-1.71,-1.1,-1.23,-1.23,-1.5,-1.33,-1.24,-1.75,-0.66,-1.27,-1.24,-0.82
5.17,0.63,0.49,0.09,1.32,0.45,0.66,-0.08,0.6,0.18,0.28,0.58
-1.11,-0.92,-1.37,-1.16,-0.63,-1.27,-2.18,-1.38,-1.11,-1.02,-1.4,-0.94
3.12,2.11,1.51,2.28,1.93,2.34,1.98,1.18,1.09,1.99,1.58,1.72
0.29,-0.39,-0.04,-0.12,-0.88,-0.12,-0.22,-0.39,0.29,-0.67,-0.12,-0.1
0.84,1.4,0.58,1.2,2.04,0.69,0.65,1.15,1.29,0.86,0.92,1.29
0.69,-0.34,-0.01,-0.24,-0.72,0.96,0.14,-0.38,-0.52,-0.29,0,0.1
-0.68,-1.03,-1.13,-0.71,-0.21,-1,-0.69,-0.68,-0.33,-1.13,-0.88,-0.68
-0.1,-0.59,-0.46,-1.4,-0.43,-0.27,-2.07,-1.06,-0.67,-0.23,-0.76,-0.47
-2.73,-2.39,-1.8,-2.23,-3.58,-3.43,-3.92,-2.72,-0.73,-2.73,-2.37,-2.16
-0.64,1.74,-0.45,-0.36,-0.7,-0.41,-0.52,0.08,-0.32,0.01,-0.1,-0.31
-0.39,-0.18,-0.59,-0.24,-0.23,-0.61,-0.43,0.07,-0.71,0.05,-0.27,-0.56
-0.05,-0.12,0.35,-0.22,0.9,-0.13,0.03,-0.53,0.32,0.14,-0.66,-0.4
-3.38,-3.41,-2.93,-3.58,-3.89,-2.8,-4.92,-3.16,-1.69,-3.33,-2.65,-2.68
-0.83,1.89,0.67,-0.01,0.24,0.75,0.79,0.07,0.24,1.41,0.38,0.58
-8.37,-6.24,-4.51,-5.62,-5.18,-5.81,-6.12,-5.4,-3.69,-5.42,-5.25,-5.04
-3.07,-0.2,-1.17,-2.09,-0.63,-2.21,-1.51,-1.12,-0.18,-0.82,-1.49,-0.36
-11.49,-9.2,-8.52,-8.16,-9.55,-8.15,-8.95,-7.79,-6.26,-8.05,-8.24,-6.97
6.35,5.82,4.33,3.73,5.9,5.19,5.88,5.7,5.65,5.44,5.19,4.97
-2.11,-3.49,-3.9,-5.15,-5.03,-3.87,-4.51,-4.45,-2.79,-4.32,-4.3,-4.3
6.67,4.46,2.94,4.73,4.2,5.13,4.94,4.01,4.59,4.11,4.12,4.72
0.12,1.41,1.06,0.76,0.73,0.91,1.62,0.9,-0.85,0.06,0.72,0.54
4.28,1.62,2.56,3.17,3.78,2.7,1.75,1.9,3.07,1.75,2.65,2.25
-3.4,-2.01,-1.83,-1.36,-2.41,-2.09,-2.06,-1.24,-0.49,-1.55,-1.54,-1.07
0.67,-2.34,0.17,-0.25,0,-0.55,-0.34,-0.03,0.35,-0.86,-0.14,-0.01
-6.48,-5.14,-4.06,-5.75,-4.74,-5.77,-6.59,-5.85,-2.51,-4.64,-5.05,-4.65
-2.48,-1.87,-1.16,-1.81,-2.15,-1.74,-3.08,-1.79,-0.98,-0.86,-1.05,-1.55
-2.95,-0.06,-0.6,-0.44,-0.64,-0.03,-0.51,0.52,-0.21,0.62,-0.51,-0.03
4.29,5.38,3.47,3.38,3.93,4.62,3.99,2.96,2.64,4.23,3.61,3.6
1.05,1.46,1.31,2.14,1.63,0.88,2.48,1.97,1.78,0.58,1.12,1.35
-2.54,-2.3,-1.85,-0.79,-2.27,-2.25,-2.15,-1.58,-1.7,-2.3,-2,-1.67
2.7,2.77,1.93,2.38,2.16,2.17,2.29,2.47,0.86,2.01,2.12,1.74
5.27,4.58,3.71,4.55,5.26,4.37,4.89,4.56,2.4,3.99,3.82,3.11
1.36,0.29,1.08,1.26,1.36,0.5,0.13,0.77,0.01,0.39,0.57,0.32
1.11,0.48,-0.9,-0.65,-0.28,-0.21,0.63,-0.26,0.63,-0.16,0.16,0.42
-1.25,-1.75,-1.42,-2.64,-2.72,-2.14,-2.19,-2.04,-0.7,-1.69,-2.12,-1.33
-3.58,-2.91,-2.81,-3.58,-2.28,-3.17,-3.14,-1.96,-1.64,-2.66,-2.9,-2.64
-1.32,-0.75,-1.6,-0.38,-1.46,-0.98,-1.55,-1.62,-0.67,0.11,-0.64,-0.72
4.66,3.48,3.14,3.9,3.24,3.86,4.01,3.47,1.69,3.22,3.32,3.06
-1.53,-1.99,-1.15,-2.22,-2.34,-1.53,-1.94,-2.01,-0.39,-1.63,-1.74,-1.18
-2.9,-2.92,-2.35,-3.14,-3.16,-2.45,-2.9,-2.06,-2.2,-1.88,-2.43,-2.65
0.29,0.35,-0.08,-0.01,-0.33,0.67,0,-0.14,0.57,0.8,0.15,0.68
1.1,1.99,0.96,1.16,2.52,2,2.44,2.59,0.87,1.41,1.61,1.12
1.06,2.09,2.3,1.9,2.4,2.02,2.17,1.54,0.96,1.59,1.66,1.45
1.83,1.41,0.65,1.34,0.88,0.88,1.06,0.93,0.91,1.02,1.01,1.64
-0.18,1.32,0.48,-0.13,-0.3,-0.08,0.13,-0.11,0.6,0.37,0.27,0.47
-2.06,-0.33,-1.48,-2.35,-3.15,-1.71,-1.71,-1.78,-0.74,-0.71,-1.76,-0.99
-1.64,-1.82,-1.71,-1.62,-1.91,-1.9,-1.66,-1.76,-0.18,-1.65,-1.29,-0.45
-4.22,-3.17,-2.58,-3,-2.8,-2.73,-5.43,-4.36,-2.15,-2.42,-2.6,-2.92
-6.91,-3.73,-2.9,-4.71,-3.7,-4.12,-4.23,-3.28,-2.24,-2.68,-3.2,-3.29
-1.59,2.11,1.54,1.41,1.24,1.48,1.59,1.73,1.06,1.48,1.42,0.74
2.98,1.44,1.12,1.66,1.4,1.01,1.95,2.22,1.15,2.47,0.9,2.28
2.45,0.91,1.53,1.68,2.58,1.95,1.12,1.29,0.94,1.02,1.78,1.22
-5.04,-2.78,-3.69,-3.36,-4.56,-3.52,-2.85,-3.2,-2.09,-2.26,-3.02,-2.29
0.11,0.01,0.78,1.63,0.46,0.38,1.77,1.56,1.7,0.05,0.62,0.77
-3.6,-3.26,-3.22,-3.17,-1.51,-2.48,-2.29,-2.22,-1.18,-2.2,-1.89,-2.5
-7.48,-4.92,-4.41,-5.13,-5.07,-5.33,-5.6,-5.59,-2.95,-4.58,-5.26,-3.18
4.55,4.37,4.15,5.09,4.58,5.24,5.66,5.69,1.53,4.83,4.27,2.68
4.1,1.83,2.02,2.42,2.21,2.26,2.92,1.36,0.75,1.02,1.91,1.92
2.82,2.76,2.4,2.58,2.91,2.26,2.57,2.75,1.43,1.95,2.11,1.94
-1.95,-1.33,-0.24,-2.12,-1.8,-1.67,-1.23,-2,-0.75,-1.46,-1.6,-0.98
6.44,3.61,3.09,3.04,3.22,3.32,3.69,3.8,2.58,3.16,3.11,3.44
1.04,0.37,0.68,0.48,0.62,0.52,1.44,1.47,-0.53,0.66,0.81,0.15
1.9,1.4,1.34,2.1,1.82,1.99,1.21,1.83,0.19,1.06,1.59,1.07
0.96,0.17,-0.28,-0.62,-0.45,0.39,-0.42,0.34,0.43,-0.41,0.07,-0.21
3.96,1.48,1.78,1.43,1.93,1.74,2.13,1.54,1.04,1.39,1.75,1.72
-1.24,-2.26,-2.13,-3.04,-2.93,-3.25,-2.66,-2.73,-0.67,-2.27,-2.68,-2.06
3.8,-0.1,1.63,4.58,2.92,2.31,1.81,2.53,1.28,2.04,2.03,2.11
-1.82,-1.2,-0.82,-1.72,-2.12,-2.32,-1.92,-1.94,-0.34,-1.01,-1.44,-1.38
0.24,0.56,0.81,0.15,0.4,-0.14,-1.22,0.89,0.37,0.02,-0.26,0.43
1.8,2.43,1.68,2.42,1.56,1.64,3.81,1.47,1.83,1.8,1.82,1.92
2.92,2.53,2.09,4.02,2.69,3.22,3.31,2.31,0.62,2.7,2.59,1.59
-3.1,-2.22,-1.28,-2.98,-2.41,-2.21,-2.37,-2.08,-1.68,-2.02,-2.24,-2.13
3.74,0.95,1.64,2.23,1.72,1.5,1.14,0.75,0.81,0.68,1.6,1.12
5.77,2.97,2.52,5.11,4.63,4.53,4.58,4.84,2.86,4.02,3.93,3.54
0.28,0.14,-0.21,-0.37,-0.9,-0.02,0.44,-0.66,-0.65,-0.76,0.04,-0.01
-4.29,-1.81,-1.93,-2.04,-1.64,-2.52,-2.57,-2.06,-1.29,-1.58,-1.98,-2.5
-3.79,-1.82,-2.92,-3.58,-3.28,-3.14,-3.89,-2.83,-2.45,-2.07,-2.86,-2.86
4.15,1.82,2.34,2.45,3.5,2.05,1.69,1.96,1.84,2.25,1.97,1.72
2.64,0.38,0.7,2.78,3.61,2.54,1.67,2.92,1.79,0.53,2.06,1.97
0.95,-0.72,0.13,-1.05,-0.63,-0.51,-0.01,-0.73,-0.67,0.05,-0.5,-0.53
0.45,-0.72,0,0.44,0.45,-0.82,-0.54,-0.26,0.01,-0.01,-0.21,0.48
1.34,1.47,1.42,2.59,0.63,1.11,1.32,1.59,1.04,1.28,1.34,1.21
-5.54,-4.64,-2.82,-4.43,-4.76,-4.24,-4.57,-3.74,-2.6,-3.42,-3.64,-3.78
1.37,0.52,0.81,0.96,0.71,0.36,0.09,0.66,0.67,0.78,0.45,0.83
1.6,2.3,1.55,2.5,1.49,2.57,1.64,2.52,1.51,2.15,1.89,1.98
-1.7,-1.08,-1.78,-1.65,-1.39,-1.18,-1.75,-1.41,-1.26,-1.19,-1.32,-0.92
0.94,0.23,1.11,1,0.89,0.85,-0.16,0.97,0.68,0.79,0.61,0.56
0.04,-2.17,-0.67,-0.54,-1.3,-0.83,-1.62,-2.08,-1.1,-1.94,-1.31,-1.64
-3.55,-2.36,-1.61,-1.44,-1.95,-1.71,-2.43,-2.11,-0.46,-1.18,-1.06,-1.65
-0.31,-0.31,0.61,0.39,0.28,-0.17,-0.84,0.47,0.55,0.01,0.04,-0.07
-2.69,-1.64,-2.85,-2.87,-1.49,-2.69,-2.39,-2.33,-1.62,-1.63,-2.07,-1.87
-0.73,-1.11,-0.39,-0.75,-1.54,-1.04,-0.63,-0.9,-1.01,-0.97,-0.56,-0.44
-3.8,-1.5,-1.94,-3.27,-2.98,-3.14,-2.14,-2.82,-1.67,-2.37,-2.53,-2.29
-0.7,-0.85,-0.46,-1,-2.08,-0.96,-1.41,0,0.08,-0.98,-0.92,-0.34
5.03,4.14,2.71,3.48,5.4,3.92,3.95,3.63,1.87,3.45,3.51,3.1
0.16,-0.51,-0.73,-0.28,0,-0.86,-1.04,-0.67,1.14,-0.25,-0.55,0.18
5.22,2.77,3.57,5.72,5.81,5.27,4.73,5.16,3.12,3.65,4.21,4.44
0.63,-0.51,-0.01,-0.86,-2.7,-0.75,-0.14,-0.37,-0.41,-0.15,-0.49,-0.22
0.8,1.25,1.03,0.81,0.29,0.77,1.81,1.08,-0.59,0.77,0.59,0.05
1.36,1.3,0.68,1.28,0.61,1.04,1.75,1.69,0.88,1.14,1.51,1.09
0.15,-0.42,-0.18,-0.05,0.46,-0.15,-0.3,0.77,-0.05,-0.17,-0.22,0.04
-0.84,-0.03,0.43,-0.23,0.35,0.02,0.65,0.37,-0.36,0.71,0.03,0.16
-4.17,-1.38,-2.03,-2.87,-2.98,-3.14,-1.99,-3.28,-1.97,-2.15,-2.81,-2.23
2.69,2.95,2.25,3.13,2.89,2.78,1.82,2.51,1.81,2.29,2.57,1.83
-2.82,-1.47,-1.25,-1.47,-1.35,-1.54,-1.66,-1.64,-1.05,-0.74,-1.02,-1.48
-2.38,-2.32,-1.78,-2.49,-2.61,-1.89,-2.61,-2.06,-0.04,-1.77,-1.43,-1.05
-3.38,-1.53,-0.99,-2.35,-1.72,-1.38,-2.33,-0.78,-0.83,-1.08,-0.7,-1.21
-0.54,0.64,0.22,1.01,1.24,-0.03,1.03,0.91,1.31,0.53,0.46,0.4
1.53,0.5,0.46,-0.1,0.35,0.3,-0.59,1.54,0.23,0.65,0.19,0.45
-3.04,-1,-2.41,-1.9,-2.19,-2.14,-2.26,-2.25,-1.02,-1.34,-1.73,-1.31
5.03,2.51,2.57,5.27,4.49,3.81,3.45,3.53,2.4,2.81,2.99,3.1
1.17,0.42,-0.05,0.48,-0.27,-0.49,0.34,0.29,1.04,0.31,0.06,0.2
1.76,0.15,0.69,1.18,1.3,1.64,1.41,1.06,0.19,-0.04,0.83,0.83
0.43,1.3,0.94,0.24,-0.17,0.67,0.69,0.44,0.61,0.75,0.26,0.84
0.64,0.63,-0.1,-0.57,0.07,-0.21,-0.38,-0.42,0.76,-0.1,-0.06,0.04
-1.95,-1.74,-1.84,-2.39,-1.61,-1.86,-2.04,-1.77,-0.91,-1.4,-1.51,-1.34
1.42,0.9,0.93,2.23,0.37,1,0.82,1.17,0.96,0.76,1.09,1.1
0.11,-0.54,-0.2,0.65,0.15,0.15,0.02,-0.67,-0.66,-0.1,0.37,-0.4
3.94,0.92,2.49,2.07,3.04,2.1,2.51,0.81,-0.58,0.55,1.49,1.5
0.78,1.1,-0.37,0.63,-0.24,-0.06,-0.12,-0.38,-0.62,-0.33,-0.58,0
-0.1,0.05,0.8,1.42,1.02,1.25,1.06,0.61,0.07,0.38,0.48,0.39
-0.72,-0.33,-0.03,0.33,0.98,0.05,0.84,0.55,-0.64,-0.43,0.07,-0.19
0.19,0.98,0.78,0.65,0.68,0.79,0.41,0.6,-0.14,0.54,0.66,0.28
1.38,1,1.74,1.69,1.41,1.56,2.48,1.41,0.37,0.34,1.16,0.97
-1.57,0.95,0.68,1.66,-0.11,1.18,0.69,0.77,-0.43,0.19,0.69,0.13
-1.09,0.81,0.96,1.48,1.54,1.25,0.43,0.07,-0.23,0.1,0.69,0.31
